airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No Info,14151
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,00:45:00,640,1.0,In-flight meal not included,13502
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,8055
Jet Airways,2019-03-03,Delhi,Cochin,23:05:00,18:50:00,1185,1.0,No Info,18253
Air India,2019-03-21,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No Info,6824
Indigo,2019-06-18,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,3858
Spicejet,2019-04-27,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4991
Air India,2019-06-09,Kolkata,Banglore,09:10:00,13:15:00,245,1.0,No Info,8996
Multiple Carriers,2019-05-18,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8309
Air Asia,2019-04-18,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Air India,2019-06-01,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,8372
Jet Airways,2019-03-01,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,17501
Multiple Carriers,2019-06-12,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,13587
Air India,2019-05-24,Kolkata,Banglore,09:50:00,12:30:00,1600,2.0,No Info,15170
Indigo,2019-04-21,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,7074
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,In-flight meal not included,10539
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,21:20:00,800,1.0,In-flight meal not included,11087
Indigo,2019-06-09,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Indigo,2019-03-06,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No Info,7725
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,In-flight meal not included,8586
Multiple Carriers,2019-06-06,Delhi,Cochin,08:45:00,21:00:00,735,1.0,No Info,7740
Indigo,2019-06-15,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,6442
Air India,2019-05-27,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Goair,2019-04-03,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Indigo,2019-03-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4148
Indigo,2019-06-18,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Spicejet,2019-05-03,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3859
Indigo,2019-05-18,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,7520
Jet Airways,2019-05-27,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,12898
Multiple Carriers,2019-05-15,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,16840
Spicejet,2019-06-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,13:15:00,1100,1.0,In-flight meal not included,11087
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14388
Multiple Carriers,2019-03-27,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No Info,12537
Air Asia,2019-03-21,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,6151
Spicejet,2019-05-24,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Spicejet,2019-06-12,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,4423
Jet Airways,2019-05-06,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Indigo,2019-06-21,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,4392
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,8586
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,09:45:00,1450,1.0,No Info,14151
Spicejet,2019-06-03,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3859
Air Asia,2019-04-24,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,4107
Multiple Carriers,2019-03-06,Delhi,Cochin,08:55:00,15:30:00,395,1.0,No Info,15147
Indigo,2019-06-15,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,04:25:00,535,2.0,No Info,15129
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,09:20:00,1010,1.0,No Info,14178
Air India,2019-03-03,Banglore,New Delhi,11:05:00,22:10:00,2105,2.0,No Info,11948
Jet Airways,2019-06-06,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,6478
Air India,2019-06-24,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5201
Jet Airways,2019-05-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,12384
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,12:35:00,1490,2.0,No Info,13882
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,10:05:00,1655,1.0,In-flight meal not included,8586
Indigo,2019-03-01,Banglore,New Delhi,21:20:00,00:15:00,175,0.0,No Info,12649
Indigo,2019-06-24,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Indigo,2019-03-21,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,5198
Indigo,2019-06-18,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-05-06,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,No Info,13731
Air India,2019-06-09,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7662
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Air Asia,2019-06-27,Delhi,Cochin,07:55:00,13:25:00,330,1.0,No Info,6152
Indigo,2019-03-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,7295
Air India,2019-05-21,Kolkata,Banglore,09:50:00,23:15:00,805,3.0,No Info,14960
Air India,2019-06-06,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7662
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,10368
Spicejet,2019-05-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3311
Air India,2019-06-01,Delhi,Cochin,21:00:00,19:15:00,1335,1.0,No Info,8582
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Air India,2019-04-01,Kolkata,Banglore,20:30:00,12:00:00,930,1.0,No Info,7893
Indigo,2019-05-18,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,No Info,13941
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,14300
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,4377
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,13882
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,12681
Indigo,2019-06-15,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-06,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,14571
Indigo,2019-03-09,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,6297
Indigo,2019-03-03,Delhi,Cochin,06:40:00,15:30:00,530,1.0,No Info,14871
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,08:15:00,800,1.0,No Info,13817
Spicejet,2019-05-15,Delhi,Cochin,15:45:00,22:05:00,380,1.0,No Info,7947
Indigo,2019-06-03,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Spicejet,2019-06-06,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Air India,2019-05-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,9929
Indigo,2019-03-27,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Air India,2019-05-12,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No Info,8891
Goair,2019-03-03,Delhi,Cochin,07:30:00,13:20:00,350,1.0,No Info,6112
Indigo,2019-04-12,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4174
Air India,2019-03-06,Mumbai,Hyderabad,16:00:00,23:45:00,465,1.0,No Info,11678
Indigo,2019-06-15,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6416
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Indigo,2019-06-27,Delhi,Cochin,16:10:00,22:30:00,380,1.0,No Info,6412
Air Asia,2019-06-12,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Air India,2019-06-12,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Spicejet,2019-05-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,16079
Multiple Carriers,2019-03-09,Delhi,Cochin,08:00:00,19:45:00,705,1.0,No Info,16287
Air India,2019-06-15,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Air India,2019-03-03,Banglore,New Delhi,12:00:00,10:35:00,1355,3.0,No Info,12358
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,18:50:00,1385,1.0,No Info,16289
Goair,2019-03-09,Delhi,Cochin,06:00:00,13:20:00,440,1.0,No Info,8422
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,13:15:00,375,1.0,No Info,19225
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7575
Goair,2019-04-21,Delhi,Cochin,05:55:00,13:35:00,460,1.0,No Info,6146
Air India,2019-05-12,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13243
Multiple Carriers,2019-05-15,Delhi,Cochin,11:35:00,01:30:00,835,3.0,No Info,16294
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No Info,14714
Indigo,2019-03-03,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,7648
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,05:05:00,900,1.0,No Info,14815
Spicejet,2019-03-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3807
Indigo,2019-03-18,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5021
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,18:25:00,405,1.0,No Info,19225
Spicejet,2019-05-24,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Air India,2019-05-24,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10413
Air Asia,2019-05-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Jet Airways,2019-03-18,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,In-flight meal not included,2228
Multiple Carriers,2019-05-21,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,14067
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,8837
Indigo,2019-03-09,Delhi,Cochin,06:40:00,21:20:00,880,2.0,No Info,8146
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,In-flight meal not included,10539
Spicejet,2019-05-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,No Info,13941
Jet Airways,2019-05-15,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Spicejet,2019-05-18,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Indigo,2019-06-09,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4077
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No Info,3898
Jet Airways,2019-03-21,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,7438
Air India,2019-03-06,Mumbai,Hyderabad,05:05:00,16:55:00,710,2.0,No Info,16697
Air India,2019-03-09,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,18211
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Jet Airways,2019-06-06,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Jet Airways,2019-06-21,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8541
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,7198
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8586
Multiple Carriers,2019-05-27,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,13377
Vistara,2019-03-09,Banglore,New Delhi,19:40:00,22:20:00,160,0.0,No Info,7450
Vistara,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Jet Airways,2019-06-09,Delhi,Cochin,02:15:00,12:35:00,620,1.0,No Info,18371
Air India,2019-06-09,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12392
Air India,2019-05-09,Delhi,Cochin,07:05:00,07:40:00,1475,2.0,No Info,13547
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12898
Multiple Carriers,2019-03-06,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,15078
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,15:15:00,495,1.0,No Info,12284
Multiple Carriers,2019-03-09,Delhi,Cochin,04:45:00,19:15:00,870,1.0,No Info,11249
Air India,2019-03-24,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No Info,14641
Multiple Carriers,2019-06-03,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14848
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,18:25:00,1410,1.0,In-flight meal not included,11087
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,10:25:00,695,1.0,1 Long layover,31825
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,No Info,13941
Air India,2019-05-09,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Jet Airways,2019-03-12,Mumbai,Hyderabad,06:30:00,16:35:00,605,2.0,No Info,23528
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:00:00,695,1.0,No Info,13555
Spicejet,2019-03-09,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,6300
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,12:00:00,330,1.0,No Info,14178
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,19:15:00,795,1.0,In-flight meal not included,7268
Indigo,2019-06-21,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Indigo,2019-05-18,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Air India,2019-03-24,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,12352
Spicejet,2019-04-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4885
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,21:20:00,695,2.0,No Info,10444
Multiple Carriers,2019-05-27,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,8837
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,In-flight meal not included,11150
Indigo,2019-06-01,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,6206
Air India,2019-05-06,Kolkata,Banglore,19:00:00,04:40:00,580,1.0,No Info,6117
Spicejet,2019-03-03,Delhi,Cochin,15:55:00,21:55:00,360,1.0,No Info,11349
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No Info,9345
Indigo,2019-06-24,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,23:25:00,385,1.0,No Info,9870
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Multiple Carriers,2019-03-03,Delhi,Cochin,13:55:00,21:00:00,425,1.0,No Info,17057
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,04:25:00,805,1.0,No Info,14714
Spicejet,2019-05-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Air India,2019-03-09,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10660
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-06-27,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,10262
Air India,2019-05-09,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13033
Indigo,2019-03-06,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,8025
Air India,2019-03-21,Banglore,New Delhi,11:50:00,13:00:00,1510,1.0,No Info,5092
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,9001
Spicejet,2019-06-21,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No Info,2017
Indigo,2019-04-18,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4990
Jet Airways,2019-06-01,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,In-flight meal not included,9314
Indigo,2019-03-27,Delhi,Cochin,04:55:00,12:00:00,425,1.0,No Info,6171
Multiple Carriers,2019-06-24,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14848
Air Asia,2019-05-12,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,5192
Goair,2019-06-27,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,3898
Vistara,2019-03-15,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No Info,6138
Jet Airways,2019-06-01,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,21:00:00,835,1.0,No Info,13062
Indigo,2019-05-27,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Goair,2019-04-01,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,5171
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,00:45:00,640,1.0,No Info,26890
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,15129
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,8529
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,7757
Air India,2019-06-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6961
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Vistara,2019-05-09,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Air India,2019-06-21,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,19:50:00,1360,1.0,In-flight meal not included,10844
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,09:00:00,610,1.0,In-flight meal not included,11087
Indigo,2019-03-03,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-06-27,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Air India,2019-05-24,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,15:15:00,495,1.0,In-flight meal not included,9134
Indigo,2019-06-09,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5636
Indigo,2019-03-27,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No Info,6316
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2227
Indigo,2019-05-09,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,6818
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,10844
Air India,2019-03-21,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5674
Air India,2019-03-01,Banglore,New Delhi,17:00:00,22:55:00,1795,2.0,No Info,14887
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,23:35:00,1720,1.0,No Info,12681
Jet Airways,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,14714
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,16704
Air India,2019-06-18,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Indigo,2019-04-09,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4174
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,No Info,12719
Jet Airways,2019-05-21,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,In-flight meal not included,5608
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,08:10:00,660,1.0,In-flight meal not included,11134
Multiple Carriers,2019-06-15,Delhi,Cochin,14:55:00,22:30:00,455,1.0,In-flight meal not included,6093
Indigo,2019-04-09,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4823
Jet Airways,2019-05-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Jet Airways,2019-06-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,6478
Jet Airways,2019-06-09,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,7229
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,In-flight meal not included,6007
Indigo,2019-05-21,Delhi,Cochin,04:55:00,11:50:00,415,1.0,No Info,6794
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,11281
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10539
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,04:25:00,555,2.0,No Info,10976
Jet Airways,2019-06-21,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Indigo,2019-05-21,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14533
Indigo,2019-03-01,Banglore,New Delhi,18:55:00,21:45:00,170,0.0,No Info,14306
Indigo,2019-05-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-06-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No Info,9165
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,01:30:00,930,1.0,In-flight meal not included,8925
Jet Airways,2019-06-06,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No Info,13882
